460, 8, 0
448, 39, -9
448, 39, -9
493, -31, 59
444, -28, 26
444, -28, 26
384, -21, -115
386, -41, -193
410, -72, -177
421, -68, -174
400, -49, -129
-,-,-
951, 80, 220
921, 79, 165
976, 41, 184
1012, 44, 226
991, 47, 244
991, 47, 244
974, 66, 219
977, 73, 180
986, 61, 153
986, 61, 153
1012, 43, 203
1042, 58, 204
1044, 51, 123
1080, 57, 34
1080, 57, 34
1195, 79, 0
1453, 79, 135
1698, 91, 306
1698, 91, 306
1811, 114, 378
1821, 102, 376
1743, 65, 315
1621, 86, 269
1505, 50, 223
1505, 50, 223
1367, 57, 181
1191, 45, 156
1033, 39, 133
897, 28, 71
897, 28, 71
824, 46, 52
677, 45, 18
677, 45, 18
510, -13, -67
437, -93, -16
378, -72, 25
364, -37, 9
364, -37, 9
274, -38, -41
177, -78, -126
223, -116, -107
-,-,-
975, -2, 307
975, -2, 307
941, -6, 279
974, 0, 288
988, 10, 322
988, 10, 322
1015, -6, 263
1062, -38, 202
1090, -111, 163
1167, -114, 208
1434, 22, 314
1434, 22, 314
1698, 131, 473
1787, 165, 564
1745, 127, 505
1625, 97, 386
1497, 90, 312
1497, 90, 312
1352, 68, 267
1209, 62, 235
1095, 33, 270
971, 41, 260
971, 41, 260
851, 36, 171
707, 14, 96
651, -11, 96
651, -11, 96
615, -26, 143
537, -41, 92
429, -67, -1
389, -67, -12
389, -67, -12
448, -78, 38
485, -69, 59
437, -56, -20
397, -112, -76
397, -112, -76
397, -116, -64
428, -80, -10
449, -56, -2
483, -68, -75
567, -71, -69
567, -71, -69
-,-,-
999, -7, 323
964, -17, 352
964, -17, 352
920, -60, 298
981, -54, 255
962, -35, 216
1016, 22, 173
1167, 25, 204
1167, 25, 204
1290, -9, 299
1544, 45, 484
1673, 71, 613
1635, 71, 521
1635, 71, 521
1543, 69, 413
1449, 87, 345
1363, 85, 286
1253, 86, 257
1253, 86, 257
1160, 78, 247
1043, 76, 241
942, 48, 142
864, 45, 68
864, 45, 68
873, 86, 85
793, 60, 80
793, 60, 80
657, 8, 14
629, 9, 15
629, 9, 15
690, 28, 138
688, 27, 140
665, -32, 50
665, -32, 50
616, -30, 35
552, -61, 11
512, -87, 13
512, -87, 13
520, -74, 4
519, -50, 9
496, -9, -44
496, -9, -44
449, -25, -76
476, -23, -92
522, -13, -115
557, -22, -138
602, -21, -105
-,-,-
927, -3, 236
927, -3, 236
954, -3, 237
1038, 1, 313
1000, 9, 360
1000, 9, 360
986, 0, 270
1027, -10, 116
1097, -33, 43
1171, -5, 42
1171, -5, 42
1373, 37, 156
1692, 126, 355
1839, 104, 408
1820, 139, 424
1820, 139, 424
1752, 203, 472
1626, 191, 340
1501, 178, 278
1369, 126, 275
1235, 89, 209
1068, 58, 135
1068, 58, 135
944, 38, 100
879, 55, 154
736, 39, 126
577, -19, -20
577, -19, -20
460, -21, -90
434, 14, -85
435, 26, -25
435, 26, -25
353, -45, -27
307, -60, -89
316, -35, -98
321, -47, -177
281, -35, -234
281, -35, -234
277, -62, -248
324, -72, -172
-,-,-
924, 105, 93
924, 105, 93
994, 131, 95
1125, 123, 300
943, 70, 334
903, 82, 192
903, 82, 192
